# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 25K of event 'cycles:u'
# Event count (approx.): 2288360700315
#
# Overhead  Command  Shared Object                                       Symbol                                                                                                                                                                                             IPC   [IPC Coverage]
# ........  .......  ..................................................  .................................................................................................................................................................................................  ....................
#
     0.00%  python3  python3.13                                          [.] PyNumber_And                                                                                                                                                                                   -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000001b3bd8                                                                                                                                                                             -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000002bd654                                                                                                                                                                             -      -            
     0.00%  python3  python3.13                                          [.] 0x0000000000083d54                                                                                                                                                                             -      -            
     0.00%  ABE      libm.so.6                                           [.] __expm1                                                                                                                                                                                        -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000001734ac                                                                                                                                                                             -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000000d310c                                                                                                                                                                             -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000000d2fb4                                                                                                                                                                             -      -            
     0.00%  python3  [unknown]                                           [k] 0xffffbb7146733314                                                                                                                                                                             -      -            
     0.00%  python3  python3.13                                          [.] 0x000000000009f504                                                                                                                                                                             -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000000d3b18                                                                                                                                                                             -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000001081d8                                                                                                                                                                             -      -            
     0.00%  ABE      ld-linux-aarch64.so.1                               [.] do_lookup_x                                                                                                                                                                                    -      -            
     0.00%  ABE      ABE                                                 [.] surface_integral::surface_integral(int)                                                                                                                                                        -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000000d8df0                                                                                                                                                                             -      -            
     0.00%  ABE      libc.so.6                                           [.] __memchr_generic                                                                                                                                                                               -      -            
     0.00%  python3  python3.13                                          [.] 0x0000000000173120                                                                                                                                                                             -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000000d7594                                                                                                                                                                             -      -            
     0.00%  ABE      libc.so.6                                           [.] __vfscanf_internal                                                                                                                                                                             -      -            
     0.00%  ABE      libc.so.6                                           [.] round_and_return                                                                                                                                                                               -      -            
     0.00%  ABE      ld-linux-aarch64.so.1                               [.] _dl_fixup                                                                                                                                                                                      -      -            
     0.00%  prterun  libxml2.so.2.9.14                                   [.] xmlBufAdd                                                                                                                                                                                      -      -            
     0.00%  ABE      libc.so.6                                           [.] strstr                                                                                                                                                                                         -      -            
     0.00%  ABE      libc.so.6                                           [.] strncmp                                                                                                                                                                                        -      -            
     0.00%  ABE      libpmix.so.2.13.7                                   [.] pmix_bfrops_base_unpack_value                                                                                                                                                                  -      -            
     0.00%  ABE      libc.so.6                                           [.] __GI___strchrnul                                                                                                                                                                               -      -            
     0.00%  ABE      libc.so.6                                           [.] _IO_fwrite                                                                                                                                                                                     -      -            
     0.00%  ABE      libc.so.6                                           [.] _IO_getline_info                                                                                                                                                                               -      -            
     0.00%  ABE      libc.so.6                                           [.] __condvar_confirm_wakeup                                                                                                                                                                       -      -            
     0.00%  ABE      libc.so.6                                           [.] __memcpy_generic                                                                                                                                                                               -      -            
     0.00%  ABE      libopen-pal.so.80.0.5                               [.] mca_base_var_generate_full_name4                                                                                                                                                               -      -            
     0.00%  ABE      libc.so.6                                           [.] _int_free_create_chunk                                                                                                                                                                         -      -            
     0.00%  ABE      libpmix.so.2.13.7                                   [.] pmix_bfrops_base_unpack_string                                                                                                                                                                 -      -            
     0.00%  python3  libopenblasp-r0.3.29.so                             [.] 0x0000000000753fe4                                                                                                                                                                             -      -            
     0.00%  ABE      ld-linux-aarch64.so.1                               [.] _dl_relocate_object_no_relro                                                                                                                                                                   -      -            
     0.00%  python3  libopenblasp-r0.3.29.so                             [.] 0x0000000000753ff8                                                                                                                                                                             -      -            
     0.00%  ABE      libpmix.so.2.13.7                                   [.] pmix_bfrops_base_unpack                                                                                                                                                                        -      -            
     0.00%  ABE      libpmix.so.2.13.7                                   [.] 0x0000000000119f58                                                                                                                                                                             -      -            
     0.00%  ABE      libpmix.so.2.13.7                                   [.] 0x0000000000121a18                                                                                                                                                                             -      -            
     0.00%  ABE      libpmix.so.2.13.7                                   [.] 0x000000000012182c                                                                                                                                                                             -      -            
     0.00%  ABE      libstdc++.so.6.0.33                                 [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::find(char const*, unsigned long, unsigned long) const                                                         -      -            
     0.00%  python3  libopenblasp-r0.3.29.so                             [.] 0x0000000000754014                                                                                                                                                                             -      -            
